idx,Output,Hypothesis,Entropy,Errors,Bridging score,3,2,1
34,"Water is in the solid state, and hail is a kind of ice.",Hail is water in solid ice.,0.04381241046,1,0.95,N,N,N
35,Fossil fuel is the component of chemical energy.,Chemical energy can be found in fossil fuels.,0.006039316784,1,0.99,N,N,E
36,A rheumatoid arthritis will happen first before other diseases affect the body's tissues.,The immune system becomes disordered first before rheumatoid arthritis occurs.,0.002250701077,0,0.02,N,C,N
37,The formation of rocks requires quartz and feldspar.,Sometimes rocks are formed by quartz and feldspar mixed together.,0.1585222076,0,0.03,N,C,N
38,"Sedimentary deposits contain organic material made of carbon, hydrogen, and oxygen.",A sedimentary deposit formed from organic material includes high amounts of carbon.,0.05117186056,0,0.66,N,E,N
39,To be used for exercise can help to maintain good health.,Exercise can help a human maintain good health.,0.003429020786,1,0.96,N,E,N
40,Kidney is a vehicle for removing bodily waste / cell waste / byproducts from the body.,The kidneys help remove waste from the body.,0.1083522217,0,0.99,E,E,E
41,Combining baking soda with vinegar is a kind of process.,Combining baking soda and vinegar can cause chemical reactions.,0.007118691814,0,0.01,N,N,N
42,Gardens are located outside during the day and will receive sunlight.,The plants in the gardens will receive the most sunlight in summer to grow during the day.,0.004533686231,0,0.00,N,N,N
43,Elephant and baby animals become adult animals.,The number of cells in the adult elephant will be more than the number of cells in the baby elephant.,0.01667921246,0,0.03,N,N,N
44,Infection can cause throat to swell.,The swelling of throat tissues is a kind of condition that can result from infection.,0.04062743687,0,0.99,E,E,N
45,A wildfire causes a tree to catch fire.,A jack pine tree will disperse seeds after a wildfire.,0.002995570549,0,0.00,N,N,N
46,If ice transfers energy to something else then that something else will melt and heat and melt above its melting point.,The block of ice will melt.,0.0270543105,0,0.08,N,N,N
47,Sunlight is a kind of energy.,Chlorophyll is used for absorbing light energy by plants.,0.005342856916,0,0.02,N,N,N
48,"Sugar is soluble in water. """,Sugar cubes will dissolve in water when they are combined.,0.7315483133,1,0.01,E,E,N
49,Electrons are the smallest particle in an atom that has a negative electric charge.,"The smallest, negatively-charged particles in the atom orbit the nucleus of the atom.",0.003391734429,0,0.00,N,N,N
50,The asteroid belt is the set of objects containing the largest concentration of asteroids between mars and jupiter.,The asteroid belt that contains the largest concentration of asteroids is located between mars and jupiter.,0.04003468292,0,1.00,N,E,E
51,Electron is the smallest particle in an atom that has a negative -1 electric charge.,"The smallest, negatively-charged particles in the atom orbit the nucleus of the atom.",0.003025802955,0,0.00,N,N,N
52,Eating / taking in food is used to get nutrients / energy by animals and leafy vegetables are used to getting minerals by living things.,Leafy vegetables are a good source of minerals.,0.05516824347,1,0.98,E,E,E?
53,If the amount of fish eaten decreases in amount then some animals that eat fish will lack food to survive.,Starvation of the animals that eat fish can endanger those animals.,0.01550224184,0,0.66,N,N,E?
54,A student can study the milky way galaxy.,The student observes the milky way galaxy at night.,0.003506104314,0,0.00,N,N,N
55,Sierra nevada mountains can limit the water vapor reaching nevadas.,Sierra nevada mountains can limit the water vapor reaching nevada.,0.07538853039,0,0.99,E,E,E?
56,Different solids are combined to maintain their physical properties.,Different solids that are combined will become a mixture.,0.008380059193,0,0.00,N,N,N
57,"When a person moves, chemical energy is transferred to mechanical energy and then into shivers.","When a person shivers, chemical energy is converted to mechanical energy.",0.08457372056,0,0.32,E,N,E?
58,Preventing tree roots from overgrazing decreases the amount of soil erosion caused by the roots of the plant.,Planting trees prevents soil from washing away.,0.008188320966,0,0.18,N,N,N
59,"If a pot is exposed to the air, then the heat will transfer to the handle and cause the handle to become hot.","If a pot become hot, then the handle of the pot will become hot.",0.3398981986,1,0.99,N,N,N?
60,Lungs and skin are used to perform the function of breathing in birds and frogs.,The function of skin on frogs is similar to the function of lungs in birds.,0.05989558687,0,0.80,E,E,E?
61,Lichens and soil are similar to being produced by breaking down rocks.,Lichens breaking down rocks can form soil.,0.04346348076,1,0.96,N,E,N
62,Some animals that eat fish will starve.,Starvation of the animals that eat fish can endanger those animals.,0.006552619321,0,0.04,N,N,N
63,Class is used to describe the sedimentary / metamorphic / igneous characteristics of a rock.,"Rocks are classified as igneous, sedimentary, or metamorphic based on how they are formed.",0.06246614805,0,0.12,N,N,N
64,Rock class is a property of the rock.,"Rocks are classified as igneous, sedimentary, or metamorphic based on how they are formed.",0.004526583897,0,0.01,N,N,N
65,A comet orbit is elliptical and occurs once per 1000 years.,Comets are the kind of celestial object that has a highly elliptical orbit and has a period of over 1000 years.,0.07053614741,0,0.82,E,N,N
66,Bone is rigid and can be used for protection.,Protection and support are jobs of the skeletal system.,0.03912538896,0,0.90,N,N,N?
67,Salt and water combined together will form a mixture.,Salt water is a kind of mixture.,0.07066692363,0,0.98,N,E,E
68,Yard is an imperial unit used to describe the length of an object.,Meter is the metric unit that is the most similar to yard.,0.002676871767,0,0.00,N,N,N?
69,Water absorbing solar energy in the water cycle causes objects to heat.,In the water cycle the sun has the role of causing evaporation.,0.0283525547,0,0.17,N,N,N?
70,Students classify leaves by their shape.,Students are classifying the leaves by their properties.,0.009455652463,0,0.13,N,N,N?
71,Electrons take up the largest amount of mass and volume in an atom but have the least volume.,Electrons are part of an atom that take up the majority of the volume in an atom.,0.009248091573,0,0.17,N,N,E?
72,Melting is a kind of state change of matter.,Ice melting is a kind of physical change.,0.004054474807,0,0.00,N,N,N?
73,Brass is made of two or more metals.,Brass is a kind of alloy.,0.005414998522,0,0.65,N,E,N?
74,The moon orbits the earth and is a new moon.,The next new moon will occur on june 30.,0.001799602993,0,0.00,N,N,N
75,Electrons take up the largest amount of mass and volume in an atom and subunits take up less volume.,Electrons are part of an atom that take up the majority of the volume in an atom.,0.01103130749,0,0.57,N,N,N
76,Digestion of food occurs in the small intestine.,Nutrients are absorbed from food in the small intestine.,0.01211706722,0,0.38,N,N,N?
77,The vomiting reflex is used to interact with toxic material.,The main function of the vomiting reflex is to remove toxic material from the stomach before it is absorbed.,0.006408713363,0,0.00,N,N,N
78,The sun rising / setting is part of one day.,The sun rising and setting is the event that occurs once per day.,0.07694137189,0,0.86,E,E,N?
79,Mercury has a year of 88 earth days and orbits the sun.,A complete orbit of mercury around the sun takes around 88 earth days.,0.1771040553,0,0.14,N,N,E
80,The asteroid belt is the system containing the largest concentration of asteroids in the solar system between mars and jupiter.,The asteroid belt that contains the largest concentration of asteroids is located between mars and jupiter.,0.04169482121,0,1.00,N,E,E
81,Earth rotating causes cycles of day and night on earth.,Earth rotating on its axis causes the cycle of day and night on earth.,0.006658491089,0,0.25,N,E,N?
82,The person in a dark room is not seeing.,The person outside cannot see the person in the dark room.,0.002706451909,0,0.41,N,N,N
83,Earthworms can form tunnels in soil and provide nutrients for plants.,Earthworms creating tunnels has a positive impact on the growth of plant roots by loosening the soil.,0.01640260446,0,0.02,N,N,N
84,A robin is a kind of predator.,The robin is the predator and the cricket is the prey.,0.004198976061,0,0.00,N,N,N
85,Objects in a mountain and in a body of water are part of two kinds of environment.,The environment has changed from a body of water to mountains.,0.05829024458,0,0.03,N,N,N
86,A lamp converts electrical energy into light and heat energy and sunlight energy.,A lamp converts electrical energy to light and heat energy.,0.07201777063,0,1.00,E,E,E?
87,Water absorbing sunlight produces heat.,In the water cycle the sun has the role of causing evaporation.,0.02034695821,0,0.36,N,N,N
88,A food preference is a kind of hereditary information that is passed from parent to offspring by genetics / dna.,Food preference is not inherited from parents.,0.03469287339,0,0.00,C,C,C
89,The cell nucleus is part of the cell that regulates the cell structure.,The cell nucleus is part of the cell that controls many of the functions of the cell.,0.006329832163,0,0.21,N,N,N
90,Cell division often causes the growth of adult elephants.,The number of cells in the adult elephant will be more than the number of cells in the baby elephant.,0.003731049082,0,0.01,N,N,N?
91,Cell division causes the baby elephant to grow into adult elephant.,The number of cells in the adult elephant will be more than the number of cells in the baby elephant.,0.01964258776,0,0.02,N,E,N?
92,Gravity causes the moon to orbit the earth and the earth to have more mass than the moon.,Gravity causes the moon to orbit around the earth.,0.07563073832,0,0.99,E,E,E
93,The kuiper belt is icy in color.,Objects in kuiper belt are icy.,0.04043684287,0,0.90,N,N,N
94,Claws are used to catch food by predators.,Claws are used by some birds to catch food.,0.00532038328,0,0.15,N,E?,N?
95,An animal is a consumer in the food chain process.,In the food chain process a human has the role of consumer.,0.008981725463,0,0.00,N,N,N?
96,Wildfire is used to produce heat in a forest.,A jack pine tree will disperse seeds after a wildfire.,0.002863917679,0,0.02,N,N,N
97,Objects are made of means made of matter and have mass.,All objects have mass.,0.2471862672,0,0.02,E,N,E?
98,Sugar dissolving in water will form a solution.,Sugar water is a mixture.,0.988980711,0,0.73,N,E,N
99,A fish is a kind of scaled animal that uses their scales to protect themselves.,Scales are used for protection by fish.,0.05142270668,0,1.00,E,E,E
100,The kuiper belt is freezing.,Objects in kuiper belt are icy.,0.005461167101,0,0.86,N,N,N?
101,The supply of solar energy will not change for a longer period of time than 10 years.,The supply of solar energy will not change over billions of years.,0.001948355862,0,0.04,N,N,N
102,If the amount of food that an animal eats decreases in amount then that animal will lack food.,Starvation of the animals that eat fish can endanger those animals.,0.003686434116,0,0.00,N,N,N
103,If heat is absorbed from ice then ice will cool.,The block of ice will melt.,0.006875618306,0,0.01,N,C,N
104,A larger power source will increase the strength of the electromaget.,A larger power source will increase the strength of the electromagnet.,0.07119518739,0,0.99,E,E,E
105,Decomposition is when a bacterium breaks down dead organisms and stores nutrients.,Bacteria causes soil to become more fertile by breaking down dead plants and animals.,0.05328110395,0,0.03,N,N,N
106,Eagles sometimes eat herbivores.,An eagle is a kind of carnivore.,0.3417698464,1,0.82,N,E,N
107,The height of the alcohol in the tube will increase as the temperature of the liquid increases.,The height of the alcohol liquid changes because alcohol is heated.,0.08509046697,1,0.83,E,E,E
108,The dark half of the moon faces the earth and the solar eclipse is when the moon blocks the earth from the sun.,A solar eclipse could only happen during the new moon.,0.005122847229,0,0.00,N,N,N
109,The person in the dark room is looking out a window.,The person outside cannot see the person in the dark room.,0.002829978463,0,0.06,N,N,N
110,Mitosis produces identical copies of the cell nucleus.,Mitosis is a source of two identical nuclei.,0.4046684933,0,0.90,N,E,E?
111,The alcohol in the tube will increase as the temperature of the liquid increases.,The height of the alcohol liquid changes because alcohol is heated.,0.009200344944,0,0.31,N,N,N?
112,"If ice is exposed to the air, then the heat will transfer to the ice.",The block of ice will melt.,0.005434459055,0,0.00,N,N,N
113,Recycling means reusing notebook paper many times.,Notebook paper can be recycled many times.,0.00456245497,1,0.99,N,N,N
114,Trees can prevent soil erosion by controlling the roots that anchor plants into the soil.,Planting trees prevents soil from washing away.,0.03887975326,0,0.50,N,E,N?
115,Composition is used to describe the rock.,"Rocks can be classified as sedimentary, metamorphic, or igneous based on how the rock was formed.",0.004958744456,0,0.04,N,N,N
116,The person outside in the day is looking into the dark room.,The person outside cannot see the person in the dark room.,0.006479217615,0,0.04,N,N,N
117,A heat engine converts heat energy into mechanical energy that can cause objects to move.,The mechanical energy converted by the car engine causes the car to move.,0.03552346494,1,0.03,N,E,N
118,A new moon will occur on june 30 when the moon orbits the planet earth.,The next new moon will occur on june 30.,0.002853482043,1,0.94,N,N,N
119,Moving away from the source increases the distance between the source and the light source.,"As the distance of the star to earth decreases, the star will appear brighter.",0.008412461731,0,0.03,N,N,N
120,A sedimentary deposit contains high amounts of organic material.,A sedimentary deposit formed from organic material includes high amounts of carbon.,0.006382081627,0,0.00,N,N,N
121,A robin can prey on a cricket.,The robin is the predator and the cricket is the prey.,0.05209795973,1,0.36,E,E,N?
122,The number of parts of something is an example of a property of something that is identical in value.,The atomic number of the atom will change.,0.02144670053,0,0.01,N,N,N
123,A sedimentary deposit contains high amounts of carbon chains.,A sedimentary deposit formed from organic material includes high amounts of carbon.,0.005384168198,0,0.00,N,E,N
124,"If alcohol is heated, then the height of alcohol will increase.",The height of the alcohol liquid changes because alcohol is heated.,0.06583639871,1,0.97,E,E,E
125,Jumping to catch a ball is a learned characteristic.,Jumping to catch a ball is a kind of learned characteristic.,0.08393052021,0,0.93,E,E,E
126,Someone looking into a mirror that reflects light is able to see.,Looking at an image in a mirror is an example of light being reflected by a mirror.,0.005571749647,0,0.97,N,N,N
127,Element nitrogen makes up most of the earth's atmosphere.,Element nitrogen makes up most of the earth's atmosphere.,0.07747910844,0,0.99,E,E,E
128,Hail and water are different substances.,Hail is water in solid ice.,0.0017944362,0,0.00,N,N,N
129,Oil will float on liquids that are more dense.,Oil will float on water.,0.006648694835,0,0.01,N,N,N
130,A centimeter is used to describe an object.,Centimeter is a metric unit used to describe the length of an object.,0.00473389646,0,0.16,N,N?,N
131,Infection can cause the swelling of throat tissue.,The swelling of throat tissues is a kind of condition that can result from infection.,0.04018248109,0,1.00,E,E,E?
132,A graduated cylinder can be used to record the volume of water.,A graduated cylinder can be used to measure the volume of liquid water and solid water ice.,0.003835326355,0,0.00,N,N,N
133,Meter is an imperial unit used to describe the length of an object.,Meter is the metric unit that is the most similar to yard.,0.002375303953,0,0.00,N,C,N
134,The nucleus of an atom is surrounded by electrons.,An atom is made of a core of protons and neutrons surrounded by electrons.,0.006207351682,0,0.03,N,N,N
135,Water in ice form is hailing.,Hail is water in solid ice.,0.006657478316,1,0.88,N,E,N
136,Canyons are formed by flowing rivers through erosion and deposition and pouring water onto soil over long periods of time.,Pouring water onto soil is similar to the erosion on the canyon formation.,0.05681334107,0,0.79,N,E?,E?
137,Soil contains nutrients for plants to grow.,The type of soil may have the greatest impact on plant growth.,0.004195844066,0,0.00,N,N,N
138,Food can be used for healing by providing energy.,Energy for healing comes from food.,0.04555857298,0,0.99,E,N?,E
139,Heavy rains can change the earth's surface by depositing soil and sediment rich in nutrients on the surface in flood plains.,The soil deposited by a river in flood plains are rich in nutrients.,0.02272210027,0,0.50,N,N,N
140,An earthquake can change earth's surface by shaking the ground.,An earthquake changes earth's surface quickly.,0.01304562675,0,0.00,N,N,N
141,December has the least sunlight in the northern hemisphere during the winter.,New york state has the least sunlight during december.,0.002392407975,0,0.00,N,N,N
142,A reflecting telescope can be used to observe moons and satellites that orbit a planet.,A reflecting telescope can be used to observe the moons that orbit around jupiter.,0.003543604489,0,0.00,N,E,N
143,Scales are used for protection by some animals.,Scales are used for protection by fish.,0.002561350019,0,0.02,N,N,N
144,A student observes the milky way galaxy.,The student observes the milky way galaxy at night.,0.004058754799,0,0.00,N,N,N
145,Mercury orbits the sun in 88 earth days in the solar system.,A complete orbit of mercury around the sun takes around 88 earth days.,0.05125942382,0,0.11,E,E,E
146,A meter stick can be used to describe the height of a door.,A meter stick can be used to measure the height of the door.,0.6850817907,1,0.98,N,E,N?
147,An automobile has a negative impact on the air.,Many automobiles increase the pollution in the air.,0.01069801072,0,0.02,N,N,N
148,Elements that are formed by rocks weathering are sediment rocks.,Sedimentary rocks are a kind of structure that is formed by materials being deposited then buried then cemented together.,0.01820696721,0,0.12,N,N,N
149,A flood can cause the population of organisms in a body of water to decrease.,A flood may cause the population of salamander to increase in an environment.,0.00116038246,0,0.00,N,N,N
150,The muscular system contains muscles used for pulling.,The muscular system pulls bones to move the bones.,0.1855751507,0,0.32,N,N,N
151,Fossil fuel is a component of chemical energy.,Chemical energy can be found in fossil fuels.,0.005966401468,1,0.99,N,N,N
152,Wings are used for flying through air.,An example of an adaptation for flight in birds is feathers / wings / hollow bones.,0.02113704424,0,0.19,,,
153,The contents of the runoff will enter the lake.,Runoff entering a lake affects that lake by causing algae to grow in it.,0.002398448604,0,0.00,,,
154,The kuiper belt is an icy object.,Objects in kuiper belt are icy.,0.6679286247,0,0.99,,,
155,Muscular movement can help animals move by pulling a bone.,The muscular system pulls bones to move the bones.,0.994874289,0,0.89,,,N
156,Ice and rocks are solids made of metal.,"Ice, a rock, and a piece of aluminum are all solids.",0.003080951661,0,0.00,,,
157,A complete revolution of earth around the sun takes 1 planetary year.,A complete revolution of earth around the sun takes an earth year.,0.04534161219,0,0.07,,,
158,To maintain physical fitness means to not change.,Exercise can help a human maintain good health.,0.003632731026,0,0.74,,,
159,Earthworms causing tunnels in soil can have a positive impact on a plant's roots' growth by increasing the amount of tunnels in the soil.,Earthworms creating tunnels has a positive impact on the growth of plant roots by loosening the soil.,0.006810846078,0,0.00,,,
160,The kidneys remove bodily waste from the body.,The kidneys help remove waste from the body.,0.3138133696,0,0.99,,,
161,Composition of a rock is a kind of property of that rock.,"Rocks can be classified as sedimentary, metamorphic, or igneous based on how the rock was formed.",0.005065734302,0,0.02,,,
162,comet orbits around the earth in an elliptical orbit once per 1000 years.,Comets are the kind of celestial object that has a highly elliptical orbit and has a period of over 1000 years.,0.2953380342,0,0.77,,,
163,Mercury moves in orbits in space around the sun in 88 earth days.,A complete orbit of mercury around the sun takes around 88 earth days.,0.06187303525,0,0.23,,,
164,Melting is a kind of state change.,Ice melting is a kind of physical change.,0.003763064654,0,0.01,,,
165,Water in the solid state is hailing.,Hail is water in solid ice.,0.004698275276,0,0.18,,,
166,An example of a mixture is a mixture of different solids.,Different solids that are combined will become a mixture.,0.567336215,0,0.89,,,
167,Mitosis and meiosis produce cells that are identical to the parent cell.,Mitosis produces cells that are identical to the parent cell and meiosis produces cells that are different from the parent cell.,0.1120701923,0,0.03,,,
168,Notebook paper can be recycled / reused many times.,Notebook paper can be recycled many times.,0.1056377642,0,1.00,,,
169,"Lemon juice, vinegar, and sugar are all corrosive.",Lemon juice is sour in taste.,0.02205625816,0,0.34,,,
170,Water will cause ice wedging.,The ice formed by water freezing causes rocks to crack by expanding in openings.,0.01315530687,0,0.02,,,
171,Oxygen is similar to oxygen.,The respiratory system and circulatory system are similar because they bring oxygen to the body.,0.04067128559,0,0.13,,,
172,"Copper is a kind of material that has different properties. """,Copper is a material that is an electrical conductor.,0.002188597886,0,0.00,,,
173,Leaves are green objects.,Leaves reflect green color.,0.8457497361,0,0.87,,,N?
174,Sugar is a pure substance.,Sugar water is a mixture.,0.03703730834,0,0.00,,,
175,Sugar is a kind of solvent.,Sugar water is a mixture.,0.09502734586,0,0.07,,,
176,Rusting is changing rust into rust.,Iron rusting is a kind of chemical change.,0.004314821115,0,0.01,,,
177,Solar energy and thermal energy can be used to heat a home by a heating system.,Solar energy is a kind of renewable resource that is used for heating a home.,0.1123649743,0,0.95,,,
178,Genetic information is a kind of hereditary vehicle for passing inherited characteristics from parents to offspring.,Hereditary information is passed from parents to offspring through genes.,0.06868970727,0,1.00,,,
179,Electrical current causes the body to become warm and cool.,Electrical current running through a wire causes that wire to become warm.,0.00981784926,0,0.08,,,
180,A river flooding changes the earth's surface by depositing soil and sediment rich in nutrients on the surface in flood plains.,The soil deposited by a river in flood plains are rich in nutrients.,0.08630897889,0,0.98,,,
181,A rheumatoid arthritis will cause damage to the body's tissues.,The immune system becomes disordered first before rheumatoid arthritis occurs.,0.00410116018,0,0.00,,,
182,Mitosis produces cells that are copy of the parent cell and meiosis produces cells different from the parent cells.,Mitosis produces cells that are identical to the parent cell and meiosis produces cells that are different from the parent cell.,0.8158711556,0,0.86,,,E?
183,Algae can enter a body of water when runoff enters it.,Runoff entering a lake affects that lake by causing algae to grow in it.,0.7505626873,0,0.30,,,
184,Algae entering a lake will affect the organisms in the lake.,Runoff entering a lake affects that lake by causing algae to grow in it.,0.005812617954,0,0.00,,,
185,The kuiper belt is made of ice.,Objects in kuiper belt are icy.,0.02371109175,0,0.90,,,
186,Claws are used by some predators to eat prey.,Claws are used by some birds to catch food.,0.0056976568,0,0.03,,,
187,Class can be used to identify a rock.,"Rocks can be classified as sedimentary, metamorphic, or igneous based on how the rock was formed.",0.003949684411,0,0.01,,,
188,Light absorbs sunlight and transfers energy to something else.,Chlorophyll is used for absorbing light energy by plants.,0.004695410105,0,0.01,,,
189,The respiratory system and circulatory system transport oxygen from the lungs to the rest of the body.,The respiratory system and circulatory system are similar because they bring oxygen to the body.,0.7253132322,0,0.42,,,
190,The weight and mass of robots on earth and mars are different.,The robot will weigh less on mars than earth but will have the same mass.,0.008307472241,0,0.00,,,
191,Many vehicles increase the amount of pollution in the environment.,Many automobiles increase the pollution in the air.,0.2042183739,0,0.90,,,
192,The nucleus of an atom is made of neutrons.,Most of the mass of an atom is located in the nucleus.,0.02451580567,0,0.00,,,
193,Water absorbing solar energy causes water to heat.,In the water cycle the sun has the role of causing evaporation.,0.04838235152,0,0.52,,,
194,Eagles are carnivores but they do not eat plants.,An eagle is a kind of carnivore.,0.1571686795,0,0.99,,,
195,The formation of something is important to that something.,Plant decomposition is important for the formation of fertile soil.,0.002645089562,0,0.00,,,
196,An earthquake can change the surface of an object.,An earthquake changes earth's surface quickly.,0.002353554152,0,0.00,,,
197,Grease can decrease the friction of a wheel.,Grease is used to decrease the friction on the wheels and gears moving on other surfaces.,0.007512938412,0,0.00,,,
198,The periodic table of elements can be used for predicting the properties of an element.,The periodic table of elements is the model that can be used to determine the properties of elements.,0.1269382818,0,0.68,,,
199,A hand lens can be used to see a leaf by magnifying the leaf and making it appear bigger.,A hand lens can be used to see a leaf by magnification.,0.0831879731,0,1.00,,,
200,A forest is dark in color and animals' fur is black.,Having dark fur has a positive impact on an animal's survival in a forest.,0.00337427566,0,0.00,,,
201,A graduated cylinder can be used to describe the volume of water.,A graduated cylinder can be used to measure the volume of liquid water and solid water ice.,0.003576904572,0,0.00,,,
202,Notebook paper is recyclable.,Notebook paper can be recycled many times.,0.176268848,0,0.30,,,
203,New york state has the least daylight in December.,New york state has the least sunlight during december.,0.91179319,0,0.99,,E,
204,A fish is a kind of scaled animal that uses their scales for defending.,Scales are used for protection by fish.,0.0511437611,0,1.00,,,
205,A flood can cause a salamander to need great amounts of water to thrive.,A flood may cause the population of salamander to increase in an environment.,0.02149364311,0,0.17,,,
206,A heat engine transfers heat energy to mechanical energy that can cause a car to move.,The mechanical energy converted by the car engine causes the car to move.,0.806456995,0,0.84,,,N
207,Longitudinal waves move through pattern of compressions and rarefactions.,Compression waves cause object to move in the same direction of the wave.,0.009589094809,0,0.02,,,
208,A graduated cylinder can be used to measure the volume of a solid by decreasing heat energy.,A graduated cylinder can be used to measure the volume of liquid water and solid water ice.,0.003415965262,0,0.00,,,
209,An airplane moving fast is similar to travelling fast.,An airplane can help people travel quickly.,0.0352866816,0,0.40,,,
210,State of matter is a property of matter and includes ordered values of an ice cube and a rock.,"Ice, a rock, and a piece of aluminum are all solids.",0.00457408031,0,0.01,,,
211,Aluminum is a kind of substance.,Aluminum atom is the smallest particle that has the properties of aluminum.,0.007451342107,0,0.00,,,
212,To cause the formation of a new object requires the object to break down into smaller pieces.,Lichens breaking down rocks can form soil.,0.002938352791,0,0.01,,,
213,Bone can be used to provide support.,Protection and support are jobs of the skeletal system.,0.02949836826,0,0.83,,,
214,Iron in contact with water and oxygen will change into rust.,Iron rusting is a kind of chemical change.,0.06200760688,0,0.23,,,
215,Electrons are part of an atom that take up the largest amount of mass and volume in an atom and electrons have the least mass.,Electrons are part of an atom that take up the majority of the volume in an atom.,0.1915128826,0,0.99,,,
216,The person in a dark room and the person outside in the day is not looking.,The person outside cannot see the person in the dark room.,0.0608263829,0,0.93,,,
217,The kuiper belt is icy.,Objects in kuiper belt are icy.,0.04617259926,0,0.86,,,
218,Moving toward the source of light produces an increase in brightness.,"As the distance of the star to earth decreases, the star will appear brighter.",0.03517519275,0,0.12,,,
219,A new moon will happen on june 30 on earth.,The next new moon will occur on june 30.,0.002883776505,0,0.86,,,
220,Someone is looking into a mirror that reflects light.,Looking at an image in a mirror is an example of light being reflected by a mirror.,0.006063923813,0,0.87,,,
221,The ice undergoes a phase change to its current state.,The mass of the ice will not change.,0.004797032676,0,0.00,,,
222,The mass of the object it is made of is similar to the size.,All objects have mass.,0.9657268448,0,0.00,N,,
